time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,SARSATrader,65a07be6a1fa42248ce340387156062d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,SARSATrader,65a07be6a1fa42248ce340387156062d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,SARSATrader,a726d2b2663148f9a0f2f4862f0e4fac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,SARSATrader,a726d2b2663148f9a0f2f4862f0e4fac,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,SARSATrader,1a03841dc00d4d4e90213c65aa09ae69,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,SARSATrader,1a03841dc00d4d4e90213c65aa09ae69,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,SARSATrader,2805ff34113345b2bee337d73da2efc2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,SARSATrader,2805ff34113345b2bee337d73da2efc2,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,19.0,0.0
2020-01-08 09:30:00-05:00,SARSATrader,115d1c380bbd48b18780bf4d632a6282,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,SARSATrader,115d1c380bbd48b18780bf4d632a6282,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,10.0,0.0
2020-01-09 09:30:00-05:00,SARSATrader,022dafde43104180b775f3b2fb40fbc8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,SARSATrader,022dafde43104180b775f3b2fb40fbc8,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,4.0,0.0
2020-01-10 09:30:00-05:00,SARSATrader,b4dd347a131b47249ceeacdca63c0f2b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,SARSATrader,b4dd347a131b47249ceeacdca63c0f2b,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,2.0,0.0
2020-01-13 09:30:00-05:00,SARSATrader,432a310ad06d45ed827f3eb84697154d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,SARSATrader,432a310ad06d45ed827f3eb84697154d,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-14 09:30:00-05:00,SARSATrader,a95e569f462c4f869c9ccecb1b8d71cd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,SARSATrader,a95e569f462c4f869c9ccecb1b8d71cd,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-02-26 09:30:00-05:00,SARSATrader,7907d8ce16394bb69b9dee620b5c8861,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,SARSATrader,3f2aa2d2a53d4e35b99f9d16e802f736,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,SARSATrader,861500f8e9da4454a58218984af20cb2,SPY,sell,stop,fill,1,day,0.0,1,stock,310.92550811767575,2.0,0.0
2020-02-26 09:30:00-05:00,SARSATrader,9188f14201ba4e8db39972ccbbcaf2d8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,SARSATrader,ee579470c9cb4cffa9f9d78199f4be25,SPY,sell,stop,fill,1,day,0.0,1,stock,311.096501159668,1.0,0.0
2020-02-26 09:30:00-05:00,SARSATrader,7907d8ce16394bb69b9dee620b5c8861,SPY,buy,market,fill,1,gtc,0.0,1,stock,314.17999267578125,1.0,0.0
2020-02-27 09:30:00-05:00,SARSATrader,9c2bb17ada1543689ec2128f8d3d93cf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
